0,0.16,0.25,0.38,0.63,1.05,1.57,2.24,2.77,3,3.7,3.8
0.11,0.12,0.17,0.26,0.45,0.87,1.54,2.26,2.95,3.2,3.95,4
0.07,0.05,0.07,0.09,0.06,0.34,1.42,2.48,3.35,3.65,4.2,4.2
0.05,0.04,0.04,0.06,0.1,0.43,1.54,2.72,3.86,4.25,4.7,4.55
0.04,0.04,0.06,0.11,0.3,0.77,1.7,2.73,4.43,5,5.25,4.65
0.04,0.04,0.05,0.08,0.17,0.55,1.6,2.7,4.05,5,4.95,4.55
0.06,0.04,0.04,0.04,0.04,0.04,1.4,2.42,3.45,4,4.3,4.2
0.11,0.13,0.16,0.23,0.4,0.78,1.5,2.25,3,3.5,3.8,3.8
0.15,0.2,0.27,0.4,0.6,1.02,1.6,2.22,2.75,3.25,3.4,3.55
0.18,0.22,0.32,0.46,0.7,1.06,1.6,2.17,2.65,3.1,3.25,3.4
